project_name,district,pop_density_district,st_pop_fraction,worker_ratio,household_size,non_worker_dependency,dist_to_nearest_pilgrim_km,dist_to_nearest_resort_km,on_char_dham_corridor,tourism_pressure_score
alain duhangan,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,5.55,4.1,0,0.8
baira siul,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,103.83,33.66,0,0.4598
nathpa jhakri,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,76.43,92.29,0,0.3962
bhakra,Bilaspur,381956.0,0.027995371194587858,0.5389914021510331,4.745679319127788,0.4610085978489669,17.21,75.86,0,0.5979
karcham wangtoo,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,68.63,91.54,0,0.4194
koldam,Bilaspur,381956.0,0.027995371194587858,0.5389914021510331,4.745679319127788,0.4610085978489669,32.95,44.03,0,0.6301
parbati II,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,20.8,25.75,0,0.7068
parbati III,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,23.37,19.84,0,0.7137
chamera I,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,81.56,6.46,0,0.5855
chamera II,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,72.72,25.17,0,0.5654
chamera III,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,68.15,26.5,0,0.5748
bajoli holi,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,58.42,34.98,0,0.5815
rampur,Shimla,814010.0,0.010755396125354725,0.5293866168720286,4.415280806239897,0.4706133831279714,69.39,62.75,0,0.4855
malana I,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,8.54,18.47,0,0.7577
malana II,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,8.77,19.16,0,0.7555
sainj,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,26.73,25.89,0,0.6901
uhl III,Mandi,999777.0,0.012789852137026558,0.5727987341177082,4.562171165210249,0.42720126588229174,50.52,29.09,0,0.6172
tidong-1,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,57.57,121.57,0,0.3786
pong,Kangra,1510075.0,0.0559998675562472,0.4471102428687317,4.455983853024755,0.5528897571312683,24.31,47.41,0,0.6458
dehar,Mandi,999777.0,0.012789852137026558,0.5727987341177082,4.562171165210249,0.42720126588229174,33.86,45.1,0,0.625
sawra kuddu,Shimla,814010.0,0.010755396125354725,0.5293866168720286,4.415280806239897,0.4706133831279714,66.97,56.98,0,0.5058
kashang I,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,66.6,117.16,0,0.3642
kutehr,Chamba,519080.0,0.26103876088464206,0.5664541111196733,5.066172164747218,0.43354588888032675,66.59,35.17,0,0.5586
baspa,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,52.59,106.8,0,0.4273
Ranjit Sagar Dam (Thein),Gurdaspur,,,,,,74.8,25.19,0,0.5597
ghanvi,Shimla,814010.0,0.010755396125354725,0.5293866168720286,4.415280806239897,0.4706133831279714,67.35,72.64,0,0.4677
larji,Kullu,437903.0,0.038414900103447565,0.6144831161238905,4.618888900608605,0.38551688387610955,35.97,28.5,0,0.6586
tehri,Tehri Garhwal,618931.0,0.001413727863041276,0.45310705070516744,4.663645131636451,0.5468929492948326,68.65,40.78,0,0.5396
koteshwar,Tehri Garhwal,618931.0,0.001413727863041276,0.45310705070516744,4.663645131636451,0.5468929492948326,62.4,62.37,1,0.7056
dhauli ganga,Chamoli,391605.0,0.03130705685576027,0.4620472159446381,4.401836697990198,0.537952784055362,122.58,128.36,0,0.1838
tanakpur,Champawat,259648.0,0.005156981759921124,0.3834653068770027,4.812484940596445,0.6165346931229972,187.44,73.17,0,0.1363
maneri bhali ,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,31.4,47.72,0,0.6256
ramganga,Almora,,,,,,138.07,68.63,0,0.2828
tiloth,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,30.48,47.67,0,0.6282
vyasi,Dehradun,1696694.0,0.06581210283056343,0.3434726591830937,4.889593978115337,0.6565273408169063,78.72,19.93,0,0.5613
madhyamaheshwar,Rudraprayag,242285.0,0.0015931650741894876,0.46652496027405743,4.525139143102611,0.5334750397259426,12.06,103.93,1,0.7455
singoli bhatwari,Rudraprayag,242285.0,0.0015931650741894876,0.46652496027405743,4.525139143102611,0.5334750397259426,27.08,94.43,1,0.7267
Tapovan Vishnugad,Chamoli,391605.0,0.03130705685576027,0.4620472159446381,4.401836697990198,0.537952784055362,24.05,123.56,0,0.466
Vishnugad Pipalkoti,Chamoli,391605.0,0.03130705685576027,0.4620472159446381,4.401836697990198,0.537952784055362,35.21,115.57,0,0.4543
Shrinagar,Pauri Garhwal,,,,,,62.43,75.48,1,0.6745
Naitwar Mori,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,39.37,66.91,0,0.5582
Lata Tapovan,Chamoli,391605.0,0.03130705685576027,0.4620472159446381,4.401836697990198,0.537952784055362,24.86,124.74,0,0.461
Lakhwar,Dehradun,1696694.0,0.06581210283056343,0.3434726591830937,4.889593978115337,0.6565273408169063,75.24,15.56,0,0.5813
Kishau,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,75.26,30.91,0,0.5448
Phata Byung,Rudraprayag,242285.0,0.0015931650741894876,0.46652496027405743,4.525139143102611,0.5334750397259426,19.45,94.08,1,0.7486
Chibro,Dehradun,1696694.0,0.06581210283056343,0.3434726591830937,4.889593978115337,0.6565273408169063,81.39,27.26,0,0.5366
Khodri,Dehradun,1696694.0,0.06581210283056343,0.3434726591830937,4.889593978115337,0.6565273408169063,85.84,26.78,0,0.5255
chilla,Haridwar,,,,,,117.42,56.31,1,0.5687
vishnuprayag,Chamoli,391605.0,0.03130705685576027,0.4620472159446381,4.401836697990198,0.537952784055362,17.77,130.69,1,0.6664
maneri_bhali_I,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,30.48,47.67,0,0.6282
Luhri Stage 1,Shimla,814010.0,0.010755396125354725,0.5293866168720286,4.415280806239897,0.4706133831279714,77.82,34.6,0,0.5291
Maneri Bhali Ii,Uttarkashi,330086.0,0.010639651484764576,0.47646976848457673,4.882784533001982,0.5235302315154232,31.4,47.72,0,0.6256
Giri Bata,Sirmaur,529855.0,0.02125487161581942,0.5286031083975805,5.3952325676115995,0.47139689160241954,104.61,58.16,0,0.3996
Shongtong Karcham,Kinnaur,84121.0,0.5794748041511633,0.6689530557173595,4.2111033239887865,0.3310469442826405,58.1,113.79,0,0.3956
