project_name,glof_lake_count_50km,glof_lake_area_km2_50km,glof_nearest_lake_km,glof_max_hazard_class,glof_risk_encoded,data_source_used,glof_composite_score
alain duhangan,38,2.9539999999999997,9.770543813933017,,2,ICIMOD,0.8311514137347338
baira siul,12,0.4720000000000001,37.675797230680764,,1,ICIMOD,0.27747734173341687
nathpa jhakri,67,1.953,9.526325944293044,,3,ICIMOD,0.8461978934729467
bhakra,0,0.0,99.22386755053218,,1,ICIMOD,0.06449262324154298
karcham wangtoo,66,1.902,5.9358529948586956,,3,ICIMOD,0.847988242646221
koldam,0,0.0,73.17844533505918,,1,ICIMOD,0.12757546286531068
parbati II,38,1.0030000000000001,18.598881367051252,,1,ICIMOD,0.39558474278054
parbati III,27,0.8580000000000001,26.723886902580336,,1,ICIMOD,0.35627132733895933
chamera I,15,0.6910000000000001,39.88505916830893,,1,ICIMOD,0.30178114465408007
chamera II,9,0.482,20.432299841624353,,1,ICIMOD,0.3205957360817215
chamera III,10,0.51,12.981647239835501,,1,ICIMOD,0.34243292245745255
bajoli holi,16,0.6519999999999999,25.023283194732766,,2,ICIMOD,0.4824958630174634
rampur,30,0.7260000000000001,21.95059905909161,,1,ICIMOD,0.34995831300275504
malana I,35,0.8980000000000001,9.630495643907835,,2,ICIMOD,0.553088448295646
malana II,37,1.5109999999999997,5.904712216171003,,2,ICIMOD,0.6451185074947162
sainj,30,0.8960000000000001,21.725045814500792,,2,ICIMOD,0.5235242445171674
uhl III,6,0.151,33.52995782338086,,1,ICIMOD,0.24405221029983945
tidong-1,96,2.4090000000000003,7.330091044555776,,2,ICIMOD,0.7632640281586205
pong,0,0.0,55.77892960294077,,1,ICIMOD,0.16971764245372156
dehar,0,0.0,72.09992583895475,,1,ICIMOD,0.13018767133100584
sawra kuddu,20,0.758,38.25419088136282,,1,ICIMOD,0.3148036035734082
kashang I,82,2.1460000000000004,12.366525790308332,,2,ICIMOD,0.7154528947792356
kutehr,12,0.55,23.129375397184244,,2,ICIMOD,0.4732711872037806
baspa,85,2.011,1.9884054325361389,,2,ICIMOD,0.7223087339201084
Ranjit Sagar Dam (Thein),6,0.20900000000000002,47.49168578445184,,1,ICIMOD,0.21809021946945462
ghanvi,42,1.4,17.57231910927686,,2,ICIMOD,0.6018287259559985
larji,18,0.53,28.091110238428467,,1,ICIMOD,0.3085455155871258
tehri,5,0.219,49.09632246041951,,1,ICIMOD,0.21555783462920639
koteshwar,1,0.08,49.99916985014598,,1,ICIMOD,0.1945491732257775
dhauli ganga,50,1.696,27.48454697576224,,1,ICIMOD,0.46790224108976225
tanakpur,0,0.0,119.56140613172431,,1,ICIMOD,0.015234459021906697
maneri bhali ,37,0.627,28.087958723115367,,1,ICIMOD,0.32168788122329606
ramganga,0,0.0,125.85135629592688,,1,ICIMOD,0.0
tiloth,35,0.5970000000000001,27.39275597993232,,1,ICIMOD,0.31930939591951607
vyasi,0,0.0,77.40365282228184,,1,ICIMOD,0.11734187616863331
madhyamaheshwar,151,2.56,11.144629216747266,,2,ICIMOD,0.7744719473093661
singoli bhatwari,85,1.5319999999999998,25.917924744791147,,2,ICIMOD,0.5994894731684393
Tapovan Vishnugad,126,1.974,12.077830343258384,,3,ICIMOD,0.8428616706967031
Vishnugad Pipalkoti,55,0.8130000000000002,19.387948120800424,,1,ICIMOD,0.3679457713721016
Shrinagar,0,0.0,55.04943240148683,,1,ICIMOD,0.17148450783930044
Naitwar Mori,57,1.4549999999999998,23.906300467758754,,1,ICIMOD,0.4439351507579718
Lata Tapovan,129,2.2030000000000003,10.290865493392221,,3,ICIMOD,0.8781985579293247
Lakhwar,0,0.0,74.37603789813525,,1,ICIMOD,0.12467485565049413
Kishau,0,0.0,72.30807600207784,,1,ICIMOD,0.12968352502654876
Phata Byung,90,1.604,18.16436563498201,,2,ICIMOD,0.6280183317443924
Chibro,0,0.0,79.2068194283762,,3,ICIMOD,0.41297454939288963
Khodri,0,0.0,84.03820296445457,,1,ICIMOD,0.10127278505803153
chilla,0,0.0,100.41739471584214,,1,ICIMOD,0.06160186254920414
vishnuprayag,149,2.371,11.486352112825838,,3,ICIMOD,0.8980518665427567
maneri_bhali_I,35,0.5970000000000001,27.39275597993232,,1,ICIMOD,0.31930939591951607
Luhri Stage 1,8,0.191,40.477078980713706,,1,ICIMOD,0.2326424468287852
Maneri Bhali Ii,37,0.627,28.087958723115367,,1,ICIMOD,0.32168788122329606
Giri Bata,0,0.0,98.3310323715278,,1,ICIMOD,0.06665509839520477
Shongtong Karcham,87,2.212,9.35163339799465,,2,ICIMOD,0.7316920944144713
