project_name,seismic_zone_encoded
alain duhangan,3
baira siul,3
nathpa jhakri,1
bhakra,1
karcham wangtoo,1
koldam,3
parbati II,3
parbati III,2
chamera I,3
chamera II,3
chamera III,3
bajoli holi,3
rampur,1
malana I,3
malana II,3
sainj,3
uhl III,3
tidong-1,1
pong,3
dehar,3
sawra kuddu,1
kashang I,3
kutehr,3
baspa,3
Ranjit Sagar Dam (Thein),2
ghanvi,3
larji,3
tehri,3
koteshwar,2
dhauli ganga,3
tanakpur,2
maneri bhali ,3
ramganga,3
tiloth,3
vyasi,1
madhyamaheshwar,3
singoli bhatwari,1
Tapovan Vishnugad,3
Vishnugad Pipalkoti,3
Shrinagar,1
Naitwar Mori,1
Lata Tapovan,3
Lakhwar,1
Kishau,1
Phata Byung,3
Chibro,1
Khodri,1
chilla,2
vishnuprayag,3
maneri_bhali_I,3
Luhri Stage 1,1
Maneri Bhali Ii,1
Giri Bata,1
Shongtong Karcham,1
